Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
64,Isaiah Briscoe\briscis01,PG,22,ORL,24,254,5.9,.454,.225,.197,0.8,10.9,5.8,20.3,0.6,0.0,14.4,15.7,,-0.2,0.1,-0.1,-0.010,,-5.3,-2.3,-7.7,-0.4
65,Ryan Broekhoff\broekry01,SG,28,DAL,18,111,10.9,.568,.784,.054,2.0,12.3,7.3,9.6,0.4,1.5,11.7,16.5,,0.1,0.1,0.1,.063,,-1.0,-1.9,-3.0,0.0
66,Malcolm Brogdon\brogdma01,SG,26,MIL,42,1230,17.6,.626,.316,.193,3.7,11.9,8.1,16.6,1.0,0.7,11.7,20.3,,2.8,1.6,4.4,.170,,1.8,-0.2,1.6,1.1
67,Dillon Brooks\brookdi01,SF,23,MEM,18,330,7.8,.499,.328,.246,3.1,7.8,5.4,7.8,1.5,1.2,12.3,21.4,,-0.3,0.3,-0.1,-0.007,,-4.1,-1.8,-5.9,-0.3
68,MarShon Brooks\brookma01,SG,30,MEM,29,387,11.9,.518,.320,.195,3.5,10.0,6.7,11.2,1.2,1.0,10.3,24.2,,-0.2,0.3,0.1,.015,,-2.8,-2.5,-5.4,-0.3
69,Bruce Brown\brownbr01,SG,22,DET,38,764,7.8,.473,.291,.206,4.2,11.9,7.9,9.9,1.3,2.0,12.0,13.1,,0.0,0.8,0.8,.048,,-3.5,1.4,-2.0,0.0
70,Jaylen Brown\brownja02,SG,22,BOS,41,1071,12.1,.524,.352,.272,4.0,13.2,8.6,8.1,1.6,2.1,11.3,21.7,,-0.1,1.5,1.4,.063,,-2.2,0.1,-2.1,0.0
71,Lorenzo Brown\brownlo01,PG,28,TOR,26,212,6.5,.380,.394,.042,2.6,12.9,7.9,17.2,2.7,1.9,18.1,18.0,,-0.5,0.3,-0.1,-0.031,,-5.5,1.4,-4.1,-0.1
72,Sterling Brown\brownst02,SG,23,MIL,35,547,11.5,.579,.521,.086,3.6,15.4,9.9,11.0,1.0,0.6,12.0,14.8,,0.5,0.8,1.3,.114,,-0.9,0.0,-0.9,0.1
73,Troy Brown\browntr01,SF,19,WAS,23,168,12.0,.474,.222,.259,2.6,17.3,9.8,17.9,2.3,0.5,9.1,16.8,,0.0,0.1,0.2,.050,,-3.4,-0.8,-4.2,-0.1
74,Jalen Brunson\brunsja01,PG,22,DAL,38,645,10.9,.511,.311,.203,1.9,8.7,5.3,19.0,1.5,0.1,11.7,18.1,,0.3,0.5,0.8,.057,,-2.0,-1.4,-3.4,-0.2
75,Thomas Bryant\bryanth01,C,21,WAS,35,643,21.9,.719,.155,.294,8.0,24.5,16.1,7.6,1.1,3.7,9.5,16.0,,2.1,0.6,2.7,.201,,1.3,0.4,1.7,0.6
76,Reggie Bullock\bullore01,SG,27,DET,37,1134,11.2,.571,.650,.150,1.6,7.3,4.3,11.7,0.9,0.2,9.5,16.6,,1.3,0.7,2.0,.085,,0.9,-1.4,-0.5,0.4
77,Trey Burke\burketr01,PG,26,NYK,29,576,15.8,.491,.245,.228,2.6,8.2,5.3,23.4,1.4,0.3,6.8,25.8,,0.4,0.1,0.5,.045,,0.2,-3.4,-3.2,-0.2
78,Alec Burks\burksal01,SG,27,TOT,44,1037,13.2,.523,.352,.308,2.2,16.2,9.0,13.3,1.2,1.5,9.6,20.4,,0.6,0.4,1.1,.049,,-1.2,-1.2,-2.3,-0.1
78,Alec Burks\burksal01,SG,27,UTA,17,269,12.7,.547,.377,.333,0.8,10.0,5.5,11.6,1.1,1.2,10.3,23.4,,0.1,0.3,0.5,.083,,-1.9,-1.4,-3.3,-0.1
78,Alec Burks\burksal01,SG,27,CLE,27,768,13.4,.513,.342,.297,2.7,18.4,10.2,13.9,1.3,1.6,9.2,19.3,,0.5,0.1,0.6,.038,,-0.9,-1.1,-2.0,0.0
79,Deonte Burton\burtode02,SG,25,OKC,15,131,7.9,.504,.283,.130,0.8,12.1,6.3,5.2,1.1,3.2,12.6,17.3,,-0.1,0.2,0.1,.035,,-6.0,-0.2,-6.2,-0.1
80,Jimmy Butler\butleji01,SG,29,TOT,38,1259,21.0,.579,.231,.360,5.7,10.1,7.9,17.2,2.9,1.6,8.1,23.4,,3.1,1.5,4.6,.174,,2.8,0.4,3.3,1.7
80,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.8,7.7,18.6,3.2,2.4,7.1,23.1,,1.0,0.4,1.4,.180,,3.9,1.1,5.0,0.7
