Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,eFG%,FT,FTA,PTS,FG
131,Luka Doncic\doncilu01,PF,19,DAL,44,1406,18.6,0.558,0.432,0.397,3.7,18.5,11.3,27,1.8,0.6,15.2,28.2,1.6,1.7,3.2,0.11,2.6,0.7,3.2,1.9,0.51,195,267,881,290
132,Tyler Dorsey\dorsety01,SG,22,ATL,23,228,7.5,0.433,0.434,0.289,4.1,15.2,9.5,9.8,1.4,0.4,9.7,18.4,-0.2,0.1,-0.1,-0.017,-4.6,-2.2,-6.8,-0.3,0.398,15,24,81,29
133,Damyean Dotson\dotsoda01,SG,24,NYK,35,886,12,0.543,0.447,0.132,2.6,13,7.6,7.8,1.7,0.4,7.1,16,0.7,0.4,1.1,0.059,-0.3,-1.2,-1.5,0.1,0.525,29,39,339,130
134,PJ Dozier\doziepj01,PG,22,BOS,4,10,25,0.583,0.333,0,21.2,21.5,21.3,0,0,0,0,26,0,0,0,0.21,1,-10.7,-9.6,0,0.583,0,0,7,3
135,Goran Dragic\dragigo01,PG,32,MIA,14,408,13.3,0.51,0.372,0.266,2.1,9,5.5,26.6,1.2,0.8,14.3,25.6,0.1,0.4,0.4,0.049,-0.5,-2.1,-2.6,-0.1,0.468,38,50,214,77
136,Andre Drummond\drumman01,C,25,DET,44,1449,20.2,0.513,0.049,0.346,16.4,33.4,24.5,6.1,2.3,4.3,13.6,23.9,0.4,3,3.4,0.112,-2.7,2.9,0.1,0.8,0.501,110,210,718,302
137,Jared Dudley\dudleja01,PF,33,BRK,43,944,7.2,0.523,0.637,0.184,2.8,10.9,6.9,9.3,1.4,1.1,15.3,11,0.2,0.7,0.9,0.044,-1.8,0.7,-1.1,0.2,0.508,22,35,215,77
138,Kris Dunn\dunnkr01,PG,24,CHI,20,610,13,0.491,0.12,0.142,0.7,15,7.8,33.8,2.2,1,16.5,21.5,-0.3,0.5,0.2,0.018,-2.4,0.1,-2.4,-0.1,0.466,26,33,243,104
139,Kevin Durant\duranke01,PF,30,GSW,46,1638,25.5,0.629,0.27,0.388,1.5,20.2,11.2,26.7,1.1,2.6,12.9,30.8,5.3,1.8,7.1,0.208,4.6,0.3,4.8,2.8,0.561,309,341,1294,447
140,Vince Edwards\edwarvi01,SF,22,HOU,1,4,32.6,0.75,1,0,27.4,0,14.1,0,0,0,0,21.9,0,0,0,0.315,13,-11.5,1.5,0,0.75,0,0,3,1
141,Henry Ellenson\ellenhe01,PF,22,DET,2,25,14.9,0.551,0.4,0.2,0,41,19.5,6.3,0,0,0,18.6,0,0,0.1,0.145,-3.6,-2.7,-6.3,0,0.5,2,2,12,4
142,Wayne Ellington\ellinwa01,SG,31,MIA,22,465,10.6,0.535,0.841,0.083,1.4,8.2,4.7,8.7,2.3,0.6,7.4,16.1,0.3,0.5,0.8,0.085,0.5,-0.9,-0.4,0.2,0.519,11,13,174,57
143,Joel Embiid\embiijo01,C,24,PHI,44,1475,25.5,0.596,0.215,0.533,7.6,33.5,21,18.3,0.8,4.6,13.4,32.8,3.3,2.6,5.9,0.192,1.6,2,3.6,2.1,0.523,344,430,1187,395
144,James Ennis\ennisja01,SF,28,HOU,31,703,11.2,0.63,0.588,0.263,4.2,8.8,6.4,4.2,1.7,1.4,9.6,12.3,1.1,0.3,1.4,0.095,0.1,-0.8,-0.7,0.2,0.619,27,42,225,81
145,Drew Eubanks\eubandr01,PF,21,SAS,12,47,20.9,0.742,0,0.571,2.4,25.4,14,6.5,1,0,10.2,18.4,0.2,0,0.2,0.205,0.1,-2.2,-2.1,0,0.714,6,8,26,10
146,Jacob Evans\evansja02,SG,21,GSW,23,99,-1.3,0.256,0.24,0.04,1.1,8.4,4.9,15.5,0.5,0.9,19.1,13.6,-0.3,0,-0.2,-0.119,-8.9,-2.3,-11.2,-0.2,0.26,0,1,13,6
147,Jawun Evans\evansja01,PG,22,PHO,4,46,1,0.2,0.2,0,2.4,22.6,12.3,22.3,2.1,0,28.6,13.2,-0.2,0,-0.1,-0.136,-9.9,0.5,-9.5,-0.1,0.2,0,0,4,2
148,Tyreke Evans\evansty01,SG,29,IND,41,840,12.5,0.492,0.353,0.243,3.3,11.6,7.6,16.1,2.6,1.1,14.2,27.3,-0.9,1.3,0.4,0.025,-2.5,-0.2,-2.8,-0.2,0.452,75,99,444,159
149,Dante Exum\exumda01,PG,23,UTA,39,637,12.7,0.53,0.252,0.368,2.6,8.5,5.6,25.5,1.1,0.6,14.5,21.5,0.5,0.7,1.2,0.089,-1.6,-1.2,-2.8,-0.1,0.47,68,86,288,101
150,Kenneth Faried\farieke01,PF,29,BRK,12,118,21.1,0.622,0.119,0.381,13.6,26.7,20.1,2.8,0.8,2.7,10.9,20,0.3,0.1,0.4,0.162,-1.6,-2,-3.6,0,0.607,10,16,61,25
151,Derrick Favors\favorde01,C,27,UTA,46,1079,20.4,0.61,0.146,0.413,13,20.5,16.8,7.1,1.6,4.3,10.8,18.9,2.3,2.1,4.4,0.197,0.8,3,3.7,1.6,0.59,93,147,513,204
152,Cristiano Felicio\feliccr01,C,26,CHI,29,288,13,0.603,0.032,0.371,9.4,21.4,15.3,7.8,0.7,0.6,15.3,13.1,0.4,0.2,0.5,0.09,-3,-0.8,-3.8,-0.1,0.565,17,23,87,35
153,Raymond Felton\feltora01,PG,34,OKC,15,166,10.8,0.438,0.395,0.118,1.8,11.4,6.5,22.8,1.7,2,12.1,22.3,-0.1,0.2,0.1,0.028,-3.9,-0.8,-4.8,-0.1,0.408,8,9,70,28
154,Terrance Ferguson\fergute01,SG,20,OKC,38,864,6,0.544,0.635,0.12,2.3,6.1,4.2,3.8,1,1,9.4,10.5,0.4,0.9,1.2,0.069,-2.2,-0.2,-2.5,-0.1,0.531,16,23,220,79
155,Yogi Ferrell\ferreyo01,SG,25,SAC,36,503,13.2,0.556,0.4,0.206,0.6,10.1,5.2,16.4,1.2,0.5,7,16.5,0.7,0.3,1,0.096,-0.3,-2.2,-2.5,-0.1,0.515,31,35,206,75
156,Dorian Finney-Smith\finnedo01,SF,25,DAL,45,1095,11.2,0.549,0.484,0.238,7.7,11.7,9.8,4.2,1.9,1.6,11.3,13.4,0.8,1.2,2,0.09,-0.6,1,0.5,0.7,0.525,45,66,336,123
157,Bryn Forbes\forbebr01,PG,25,SAS,47,1338,12,0.581,0.506,0.103,0.7,10.1,5.5,11,1.1,0.1,9.8,18.2,1.2,0.8,2,0.072,1.2,-1.8,-0.6,0.5,0.562,43,49,576,216
158,Evan Fournier\fournev01,SG,26,ORL,45,1400,11.9,0.528,0.453,0.154,1.8,9.1,5.4,18.4,1.4,0.5,12.8,23,-0.2,1,0.8,0.028,-0.4,-1.6,-2,0,0.504,71,91,668,254
159,De'Aaron Fox\foxde01,PG,21,SAC,46,1453,18.9,0.555,0.224,0.403,1.9,10.2,6,33,2.6,1.5,15.6,24.7,2.1,1.4,3.5,0.116,1.6,-0.1,1.6,1.3,0.507,182,250,811,289
160,Melvin Frazier\frazime01,SG,22,ORL,3,16,-9.7,0,0.333,0,0,6.9,3.4,0,3.1,0,25,11.1,-0.1,0,-0.1,-0.245,-14.2,0.3,-13.9,0,0,0,0,0,0
161,Tim Frazier\fraziti01,PG,28,NOP,35,678,10.9,0.555,0.436,0.171,3.8,11.3,7.6,26.4,1.2,0.4,23.4,12,0.7,0.2,1,0.069,-0.6,-1.6,-2.2,0,0.532,18,24,167,63
162,Channing Frye\fryech01,C,35,CLE,23,229,7.3,0.491,0.701,0.13,1.9,14.8,8.1,7.6,1.1,1.1,10.9,17.7,-0.1,0,-0.1,-0.021,-2.4,-3.3,-5.7,-0.2,0.468,8,10,80,26
163,Markelle Fultz\fultzma01,SG,20,PHI,19,427,10.5,0.452,0.09,0.239,6.8,10.6,8.8,19.7,1.9,0.9,12.7,19.4,-0.1,0.4,0.3,0.038,-2.9,-0.2,-3.1,-0.1,0.432,21,37,155,65
164,Danilo Gallinari\gallida01,SF,30,LAC,44,1377,19.5,0.622,0.425,0.432,3.2,16.5,10.1,12,1.1,0.7,8.4,22.6,3.9,0.9,4.9,0.17,4,-1.3,2.7,1.6,0.544,221,244,836,254
165,Langston Galloway\gallola01,SG,27,DET,43,947,10.2,0.519,0.646,0.155,3.1,8.8,5.8,7.7,1,0.3,4.2,16.2,0.9,0.7,1.6,0.08,-0.1,-1.4,-1.5,0.1,0.491,41,50,357,123
166,Marc Gasol\gasolma01,C,34,MEM,45,1520,16.9,0.534,0.324,0.3,3.4,26,14.4,22.6,1.8,3.8,13.5,22.3,0.7,2.5,3.2,0.1,-0.5,3.5,2.9,1.9,0.49,129,169,682,244
167,Pau Gasol\gasolpa01,C,38,SAS,17,248,17.3,0.569,0.138,0.448,5.8,34.6,20.4,19.2,0.4,4.4,13.7,14.3,0.4,0.4,0.8,0.158,-1.3,3.2,1.9,0.2,0.517,19,26,79,28
168,Rudy Gay\gayru01,SF,32,SAS,37,992,18,0.595,0.239,0.184,4.3,21.9,13.2,13.7,1.6,1.9,12.3,21.8,1.4,1.2,2.6,0.126,1,0.9,1.8,1,0.565,62,73,511,205
169,Paul George\georgpa01,SF,28,OKC,44,1583,23.2,0.577,0.435,0.308,4.2,19.1,11.5,17.5,3,1.2,10.3,29.2,3.6,3,6.6,0.199,4.2,1.2,5.4,3,0.526,231,277,1176,397
170,Taj Gibson\gibsota01,PF,33,MIN,44,1127,16.9,0.598,0.09,0.284,10.8,18.2,14.4,7.6,1.5,1.9,10.4,16.2,2.2,1,3.2,0.136,0.6,0.7,1.3,0.9,0.572,69,98,464,192
171,Harry Giles\gilesha01,PF,20,SAC,33,404,13,0.496,0.03,0.25,7.5,21.2,14.2,17.3,2.7,2.5,18.4,23.5,-0.4,0.6,0.2,0.026,-3.9,2,-2,0,0.482,23,42,185,81
172,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,45,1167,12.5,0.557,0.188,0.275,2.9,8,5.5,15.8,1.9,1.8,17,17.5,0.5,0.8,1.3,0.055,-0.9,0.3,-0.6,0.4,0.511,81,98,446,171
173,Rudy Gobert\goberru01,C,26,UTA,47,1479,24.4,0.676,0,0.688,12.8,32.3,22.7,10.8,1.4,5.2,12.1,17.4,4.8,3.4,8.2,0.267,1.9,5.3,7.2,3.5,0.656,180,276,706,263
174,Brandon Goodwin\goodwbr01,PG,23,DEN,12,45,9.8,0.435,0.235,0.647,0,4.9,2.4,34.1,0,0,8.4,22.7,0.1,0,0.1,0.065,-3.9,-7,-10.9,-0.1,0.294,9,11,19,4
175,Aaron Gordon\gordoaa01,PF,23,ORL,43,1442,15.6,0.542,0.324,0.248,5.2,19.5,12.3,15.7,1.2,1.7,11.3,21.7,1,1.5,2.5,0.084,0,0.8,0.8,1,0.511,102,140,678,255
176,Eric Gordon\gordoer01,SG,30,HOU,34,1114,11.1,0.513,0.585,0.196,1.4,7.5,4.4,10.8,0.8,1.1,8.7,23.1,0.4,0.2,0.5,0.023,-1,-3.4,-4.5,-0.7,0.479,78,97,551,191
177,Marcin Gortat\gortama01,C,34,LAC,38,636,13.6,0.567,0,0.28,10.2,25.5,18.2,12.7,0.4,2.5,18.9,14.5,0.6,0.6,1.3,0.096,-1.7,1.5,-0.2,0.3,0.535,32,44,200,84
178,Devonte' Graham\grahade01,PG,23,CHO,25,316,12,0.509,0.55,0.14,0.3,9.2,4.8,24.4,2.3,0,11.7,16.3,0.3,0.3,0.5,0.078,-0.7,-2.1,-2.8,-0.1,0.475,13,14,108,38
179,Treveon Graham\grahatr01,SG,25,BRK,10,214,3.1,0.38,0.614,0.14,4.5,9.1,6.8,5,0.7,1.1,10.4,13.5,-0.3,0.1,-0.2,-0.036,-4.4,-0.9,-5.4,-0.2,0.342,7,8,46,16
180,Jerami Grant\grantje01,PF,24,OKC,45,1435,14,0.605,0.336,0.314,3.2,13.2,8.1,3.9,1.3,3.6,7.6,14.5,2.2,2.1,4.3,0.144,-0.9,1.6,0.7,1,0.577,93,131,574,217
181,Jerian Grant\grantje02,PG,26,ORL,40,702,9.5,0.495,0.487,0.156,2.1,8.5,5.3,23,2.3,0.4,19.6,12.9,0,0.6,0.7,0.047,-2.7,-0.5,-3.2,-0.2,0.481,15,24,163,61
182,Danny Green\greenda02,SG,31,TOR,46,1353,11.7,0.595,0.668,0.064,3.6,11.9,7.8,5.9,1.5,2.3,11.2,13.9,1.2,1.6,2.8,0.101,0.9,1.3,2.2,1.4,0.584,21,24,461,167
183,Draymond Green\greendr01,PF,28,GSW,32,1004,12.8,0.493,0.359,0.18,3.5,22.7,13.4,28.6,2.4,2.5,26.6,13.6,0.4,1.5,1.8,0.088,-1.5,3.2,1.7,0.9,0.465,29,39,231,91
184,Gerald Green\greenge01,SG,33,HOU,41,868,11,0.567,0.812,0.088,2.7,12.4,7.4,3.9,0.9,1.4,8.8,18.3,0.7,0.3,1,0.054,-0.3,-3.1,-3.4,-0.3,0.553,23,28,376,131
185,JaMychal Green\greenja01,PF,28,MEM,34,786,16.5,0.598,0.293,0.259,9.5,24.1,16.6,6.8,1.9,2.9,16.2,20.9,0.5,1.2,1.8,0.108,-1.4,1,-0.5,0.3,0.567,54,70,360,137
186,Jeff Green\greenje02,PF,32,WAS,43,1174,13.5,0.6,0.422,0.282,4,15.1,9.5,8.9,1,1.5,11.2,16.8,1.6,0.5,2.1,0.085,-0.1,-1,-1.2,0.2,0.548,92,103,492,172
187,Blake Griffin\griffbl01,PF,29,DET,43,1557,21.6,0.595,0.357,0.43,3.6,21.5,12.1,26.1,1.1,1.1,14.8,30.2,3,1.8,4.8,0.147,4.3,0.8,5.1,2.8,0.543,259,339,1116,378
188,Daniel Hamilton\hamilda02,SG,23,ATL,15,169,8.2,0.474,0.367,0.122,5.5,19.2,12.2,16.4,1.4,0.5,21.3,15.7,-0.1,0.1,0,-0.009,-4.4,-0.5,-5,-0.1,0.469,3,6,49,20
189,Tim Hardaway\hardati02,SG,26,NYK,40,1308,14.5,0.533,0.463,0.317,1.7,9.4,5.4,13.1,1.4,0.3,9.6,26.2,0.9,0.3,1.2,0.044,1.3,-3.1,-1.8,0,0.471,175,204,781,251
190,James Harden\hardeja01,SG,29,HOU,42,1572,30.2,0.622,0.557,0.496,2.4,17.3,9.6,43.8,2.8,1.4,16.3,40.1,6.3,1.6,7.9,0.242,11.1,0.6,11.8,5.4,0.544,423,490,1498,434
191,Maurice Harkless\harklma01,SF,25,POR,27,582,11.1,0.53,0.359,0.166,5,14.5,9.9,4.6,1.9,3.6,9.3,12.6,0.4,0.8,1.1,0.093,-1.5,2.3,0.8,0.4,0.51,17,24,165,66
192,Montrezl Harrell\harremo01,C,25,LAC,45,1148,24.8,0.639,0.013,0.538,10.6,17.8,14.3,11.3,1.8,4.3,10.1,22.7,3.6,1.4,5,0.211,3.2,1.9,5.2,2.1,0.622,150,240,705,277
193,Devin Harris\harride01,PG,35,DAL,33,488,11.6,0.531,0.554,0.327,1.1,10.1,5.7,12,2.3,1.2,10.7,18.8,0.2,0.5,0.8,0.078,-1.1,-0.3,-1.5,0.1,0.476,44,55,204,67
194,Gary Harris\harriga01,SG,24,DEN,27,817,14.6,0.534,0.376,0.228,2.8,8.6,5.7,12.9,1.6,1.1,7.1,22.2,1,0.7,1.7,0.1,0.6,-1.6,-1,0.2,0.496,65,81,418,154
195,Joe Harris\harrijo01,SG,27,BRK,43,1283,13.7,0.642,0.521,0.152,2.6,10.7,6.6,12.9,0.9,0.4,13.3,17.3,2.2,0.7,2.9,0.107,1.9,-1.1,0.8,0.9,0.62,54,64,575,209
196,Tobias Harris\harrito02,PF,26,LAC,45,1540,18.8,0.61,0.3,0.253,2.3,21.7,12.4,10.5,1.1,0.9,10.2,23.6,2.8,1.3,4.2,0.13,1.9,-0.7,1.2,1.3,0.566,155,175,939,346
197,Andrew Harrison\harrian01,SG-PG,24,TOT,17,187,6,0.443,0.472,0.34,3.5,8.5,5.9,17.2,1.1,0.9,16.5,17,-0.1,0,-0.1,-0.035,-3.5,-3,-6.6,-0.2,0.349,17,18,54,16
197,Andrew Harrison\harrian01,PG,24,MEM,1,5,4.7,0.5,0.5,0,0,0,0,0,0,0,0,18.3,0,0,0,-0.017,-4,-6.2,-10.2,0,0.5,0,0,2,1
197,Andrew Harrison\harrian01,SG,24,CLE,10,144,6.8,0.467,0.359,0.41,3,8.9,5.8,16.4,1.4,1.2,17.8,17.2,-0.1,0,-0.1,-0.031,-3.7,-2.5,-6.3,-0.2,0.346,16,16,43,12
197,Andrew Harrison\harrian01,SG,24,NOP,6,38,3.2,0.349,0.833,0.167,5.7,8.1,6.9,22.2,0,0,13.4,16.2,0,0,0,-0.051,-2.6,-4.6,-7.2,-0.1,0.333,1,2,9,3
198,Shaquille Harrison\harrish01,PG,25,CHI,37,648,11.4,0.459,0.245,0.352,2.3,14.4,8.3,14.2,3.5,1.6,11,17.4,-0.5,0.8,0.3,0.023,-3.7,1.6,-2.1,0,0.423,42,69,208,77
199,Josh Hart\hartjo01,SG,23,LAL,47,1282,10.5,0.534,0.592,0.188,2,13.1,7.7,7.1,2,1.8,10,14.5,0.4,1.8,2.1,0.079,-1.2,1.4,0.2,0.7,0.512,49,70,431,153
200,Isaiah Hartenstein\harteis01,PF,20,HOU,23,185,9.6,0.557,0.167,0.389,11.3,12.6,11.9,9.2,1.1,4.1,22.2,12.8,0.2,0.1,0.3,0.076,-2.9,0.9,-2,0,0.5,11,14,47,17
201,Udonis Haslem\hasleud01,C,38,MIA,3,14,-4.6,0.333,0.333,0,7.5,30.1,18.8,0,0,0,25,24.4,-0.1,0,-0.1,-0.237,-16.1,-7.5,-23.6,-0.1,0.333,0,0,4,2
202,Gordon Hayward\haywago01,SF,28,BOS,41,1078,14.5,0.535,0.417,0.248,3.3,15.6,9.4,19.3,1.7,0.8,12.1,19.2,1.1,1.5,2.6,0.115,-0.1,0.5,0.4,0.7,0.489,79,94,450,160
203,John Henson\hensojo01,C,28,MIL,14,188,17.3,0.553,0.463,0.149,9.4,28.6,19.6,10.1,1.7,5,14.4,18.7,0.1,0.5,0.6,0.15,-1.6,3.2,1.7,0.2,0.545,6,10,79,31
204,Juan Hernangomez\hernaju01,PF,23,DEN,43,1092,13.2,0.634,0.581,0.3,5.6,16.3,10.9,5.1,0.9,1.5,9.5,12.8,2,1,2.9,0.13,0.9,-0.4,0.5,0.7,0.598,62,78,373,125
205,Willy Hernangomez\hernawi01,C,24,CHO,37,518,21.5,0.589,0.139,0.473,16.5,28,22.2,11,1,2.2,13.5,23.2,1.2,0.6,1.9,0.172,0.8,-0.3,0.5,0.3,0.55,65,95,286,104
206,Mario Hezonja\hezonma01,SF,23,NYK,38,694,9.9,0.473,0.345,0.207,2.2,18.3,9.9,8.2,2.4,0.6,12.3,20.8,-0.8,0.6,-0.3,-0.018,-3.9,-1,-4.9,-0.5,0.445,39,57,284,109
207,Buddy Hield\hieldbu01,SG,26,SAC,46,1443,17.7,0.607,0.463,0.119,4.1,12.3,8.1,10.8,0.7,0.9,9.9,24.8,2.5,0.7,3.2,0.107,3.3,-2.5,0.8,1,0.587,76,88,944,356
208,Haywood Highsmith\highsha01,SF,22,PHI,1,5,22.7,0.75,1,0,0,0,0,30.6,0,0,0,16.9,0,0,0,0.278,6.7,-11.9,-5.2,0,0.75,0,0,3,1
209,Nene Hilario\hilarne01,C,36,HOU,20,279,12.4,0.576,0.033,0.377,6.3,22.6,14.2,7.4,1.1,1.8,6.6,12,0.5,0.2,0.7,0.125,-2.8,-0.1,-2.8,-0.1,0.525,18,23,82,32
210,George Hill\hillge01,PG,32,TOT,33,764,12,0.561,0.356,0.231,3.4,6.9,5.2,14.8,1.9,0.3,11.6,14.7,0.9,0.5,1.5,0.092,-0.2,-1,-1.3,0.1,0.526,38,48,257,97
210,George Hill\hillge01,PG,32,CLE,13,344,13.7,0.604,0.262,0.187,3.8,5.1,4.4,16.3,1.7,0.2,14.7,17.5,0.5,-0.1,0.4,0.058,0.6,-3,-2.4,0,0.575,17,20,140,55
210,George Hill\hillge01,PG,32,MIL,20,420,10.6,0.516,0.455,0.277,3.2,8.4,5.9,13.7,2,0.4,8.1,12.4,0.5,0.6,1.1,0.121,-0.9,0.5,-0.4,0.2,0.475,21,28,117,42
211,Solomon Hill\hillso01,SF,27,NOP,28,586,6.7,0.503,0.564,0.188,4.6,11.5,8.1,6.9,1.3,1,16.1,9.2,0.1,0.2,0.3,0.027,-1.7,0,-1.7,0,0.485,12,19,110,40
212,Aaron Holiday\holidaa01,PG,22,IND,27,277,15.5,0.525,0.504,0.215,0.8,14.9,8,19.9,2.1,3.2,10.8,23.4,0.2,0.5,0.6,0.111,-0.5,0.5,0,0.1,0.479,23,26,139,50
213,Jrue Holiday\holidjr01,SG,28,NOP,46,1691,19,0.557,0.3,0.231,3.6,9.5,6.6,32.2,2.1,1.8,15.2,24.7,2.6,1.1,3.7,0.106,2.8,-0.6,2.3,1.8,0.526,138,180,958,372
214,Justin Holiday\holidju01,SG,29,TOT,46,1491,10.4,0.513,0.659,0.131,1.5,12.7,7.1,9.3,2.5,1.4,11,15.7,-0.4,1.4,1,0.031,-1.1,0.9,-0.2,0.7,0.484,52,58,481,164
214,Justin Holiday\holidju01,SG,29,CHI,38,1325,11.1,0.531,0.685,0.117,1.5,12.5,6.9,9.5,2.5,1.4,10.2,15.4,0.1,1.1,1.2,0.044,-0.3,0.9,0.6,0.9,0.506,41,46,440,151
214,Justin Holiday\holidju01,SG,29,MEM,8,166,4.7,0.378,0.449,0.245,1.3,14.9,7.9,7.8,3,1.7,16.9,18,-0.5,0.2,-0.3,-0.074,-7.5,1.2,-6.3,-0.2,0.306,11,12,41,13
215,John Holland\hollajo02,SF,30,CLE,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.041,-6.2,-1.3,-7.4,0,,0,0,0,0
216,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,36,837,12.3,0.462,0.105,0.404,6.3,20.1,13.2,11.5,1.6,1.7,10.2,21.1,-0.2,0.9,0.7,0.041,-4,0.9,-3.2,-0.2,0.411,84,127,342,125
217,Richaun Holmes\holmeri01,C,25,PHO,45,716,23.1,0.697,0,0.447,11.1,20.6,15.8,8.6,1.9,5.9,12.2,17.9,2.2,0.8,3,0.202,1.3,2.1,3.4,1,0.673,70,97,362,146
218,Rodney Hood\hoodro01,SG,26,CLE,39,1063,14.3,0.561,0.326,0.264,1.5,8.8,5,11.6,1.6,0.3,7.4,20.2,1.5,-0.2,1.4,0.062,0.7,-3.1,-2.4,-0.1,0.505,97,106,503,179
219,Al Horford\horfoal01,C,32,BOS,37,1039,18,0.588,0.332,0.119,5.7,18,11.8,18.9,1.3,4.2,12.8,18.2,1.7,1.7,3.4,0.159,1,2.8,3.9,1.5,0.573,33,43,447,185
220,Danuel House\houseda01,SF,25,HOU,25,620,12.6,0.631,0.645,0.355,3.5,13,8.1,6.2,1.1,1.4,11.4,14.3,1,0.3,1.3,0.102,0.2,-1.3,-1.2,0.1,0.584,45,55,226,71
221,Dwight Howard\howardw01,C,33,WAS,9,230,17.7,0.638,0,0.696,11.2,28.7,19.8,2.6,1.4,1.5,15.1,19.7,0.4,0.2,0.6,0.128,-2.9,-2.3,-5.2,-0.2,0.623,29,48,115,43
